hour,12TH,16TH,19TH,24TH,ASHB,BALB,BAYF,CAST,CIVC,COLM,COLS,CONC,DALY,DBRK,DELN,DUBL,EMBR,FRMT,FTVL,GLEN,HAYW,LAFY,LAKE,MCAR,MLBR,MONT,NBRK,NCON,ORIN,PHIL,PITT,PLZA,POWL,RICH,ROCK,SANL,SBRN,SFIA,SHAY,SSAN,UCTY,WCRK,WDUB,WOAK,MCAR_S,19TH_N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,16,7,16,6,13,6,2,24,3,15,5,8,16,7,8,31,7,10,8,4,3,7,9,6,17,5,1,2,4,5,4,56,4,6,5,3,19,2,2,3,6,3,8,9,7
5,21,33,15,32,13,27,13,5,49,7,31,10,17,32,14,16,63,14,20,16,8,6,14,19,13,34,11,3,5,9,10,9,112,9,13,10,7,39,5,4,7,12,6,16,19,15
6,54,84,38,80,34,69,33,14,122,17,78,26,43,80,35,40,157,36,50,41,21,17,36,48,34,86,28,8,13,23,27,24,281,22,33,26,18,99,13,11,17,32,16,41,48,38
7,108,169,77,160,68,139,66,29,245,35,156,52,87,160,71,81,315,72,100,82,43,34,72,96,69,172,56,16,26,47,54,49,563,45,67,53,37,199,26,23,35,64,32,82,96,77
8,326,509,231,480,204,418,199,88,735,106,470,156,262,480,215,245,947,217,301,248,129,102,218,290,209,518,170,48,78,142,163,148,1691,135,203,161,112,599,80,71,105,194,97,246,290,231
9,435,678,308,640,273,557,266,118,980,142,627,209,349,640,287,326,1263,290,401,331,172,137,291,386,279,691,227,65,104,189,218,197,2255,180,271,215,149,799,106,95,140,259,129,328,386,308
10,217,339,154,320,136,278,133,59,490,71,313,104,174,320,143,163,631,145,200,165,86,68,145,193,139,345,113,32,52,94,109,98,1127,90,135,107,74,399,53,47,70,129,64,164,193,154
11,163,254,115,240,102,209,99,44,367,53,235,78,131,240,107,122,473,108,150,124,64,51,109,145,104,259,85,24,39,71,81,74,845,67,101,80,56,299,40,35,52,97,48,123,145,115
12,163,254,115,240,102,209,99,44,367,53,235,78,131,240,107,122,473,108,150,124,64,51,109,145,104,259,85,24,39,71,81,74,845,67,101,80,56,299,40,35,52,97,48,123,145,115
13,174,271,123,256,109,223,106,47,392,56,250,83,139,256,115,130,505,116,160,132,68,54,116,154,111,276,90,26,41,75,87,79,902,72,108,86,59,319,42,38,56,103,51,131,154,123
14,195,305,138,288,122,251,119,53,441,64,282,94,157,288,129,147,568,130,180,149,77,61,131,174,125,311,102,29,47,85,98,89,1015,81,122,96,67,359,48,42,63,116,58,147,174,138
15,206,322,146,304,129,265,126,56,465,67,297,99,166,304,136,155,600,137,190,157,81,65,138,183,132,328,107,30,49,90,103,93,1071,85,128,102,71,379,50,45,66,123,61,156,183,146
16,217,339,154,320,136,278,133,59,490,71,313,104,174,320,143,163,631,145,200,165,86,68,145,193,139,345,113,32,52,94,109,98,1127,90,135,107,74,399,53,47,70,129,64,164,193,154
17,272,424,193,400,170,348,166,74,612,89,391,130,218,400,179,204,789,181,251,207,107,85,182,241,174,432,141,40,65,118,136,123,1409,113,169,134,93,499,66,59,87,162,81,205,241,193
18,380,594,270,560,238,488,233,103,857,124,548,183,305,560,251,285,1105,254,351,290,150,120,255,338,244,604,198,56,91,165,191,173,1973,158,237,188,130,699,93,83,122,227,113,287,338,270
19,326,509,231,480,204,418,199,88,735,106,470,156,262,480,215,245,947,217,301,248,129,102,218,290,209,518,170,48,78,142,163,148,1691,135,203,161,112,599,80,71,105,194,97,246,290,231
20,272,424,193,400,170,348,166,74,612,89,391,130,218,400,179,204,789,181,251,207,107,85,182,241,174,432,141,40,65,118,136,123,1409,113,169,134,93,499,66,59,87,162,81,205,241,193
21,217,339,154,320,136,278,133,59,490,71,313,104,174,320,143,163,631,145,200,165,86,68,145,193,139,345,113,32,52,94,109,98,1127,90,135,107,74,399,53,47,70,129,64,164,193,154
22,108,169,77,160,68,139,66,29,245,35,156,52,87,160,71,81,315,72,100,82,43,34,72,96,69,172,56,16,26,47,54,49,563,45,67,53,37,199,26,23,35,64,32,82,96,77
23,54,84,38,80,34,69,33,14,122,17,78,26,43,80,35,40,157,36,50,41,21,17,36,48,34,86,28,8,13,23,27,24,281,22,33,26,18,99,13,11,17,32,16,41,48,38
